,,,,,,,,,,,
,,,,,,,,,,,
MXID Index Settings Total Return Analysis,,,,,,,,,,,
Range11/29/1991 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 373 Month Holding Period Chart,,,,,,,,,,,
MSCI Indonesia Index Max Cuml Total Return 456.8318% On 04/29/2022,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
4/28/2006,0.23,0.00014,16.81%,55.07%,13.97%,14.04%,,,,,
,,,,,,,,,,,
3/31/2006,0.2,--,2.49%,35.98%,10.69%,10.69%,,,,,
2/28/2006,0.18,--,-7.41%,22.85%,0.83%,0.83%,,,,,
1/31/2006,0.18,--,-8.17%,21.83%,12.48%,12.48%,,,,,
,,,,,,,,,,,
12/30/2005,0.16,0.00006,-18.36%,8.31%,8.88%,8.92%,,,,,
11/30/2005,0.15,0.0002,-25.02%,-0.56%,6.12%,6.28%,,,,,
10/31/2005,0.14,0.00019,-29.34%,-6.43%,-3.04%,-2.91%,,,,,
,,,,,,,,,,,
9/30/2005,0.14,--,-27.13%,-3.62%,2.90%,2.90%,,,,,
8/31/2005,0.14,0.00011,-29.18%,-6.34%,-15.77%,-15.70%,,,,,
7/29/2005,0.17,0.00181,-15.93%,11.11%,6.26%,7.48%,,,,,
,,,,,,,,,,,
6/30/2005,0.16,0.00192,-20.88%,3.37%,1.60%,2.83%,,,,,
5/31/2005,0.15,--,-22.13%,0.53%,6.89%,6.89%,,,,,
4/29/2005,0.14,--,-27.14%,-5.95%,-4.64%,-4.64%,,,,,
,,,,,,,,,,,
3/31/2005,0.15,0.00009,-23.60%,-1.38%,-1.07%,-1.01%,,,,,
2/28/2005,0.15,--,-22.78%,-0.38%,0.71%,0.71%,,,,,
1/31/2005,0.15,0,-23.32%,-1.07%,5.73%,5.73%,,,,,
,,,,,,,,,,,
12/31/2004,0.14,0.00057,-27.48%,-6.44%,-0.56%,-0.15%,,,,,
11/30/2004,0.14,0.00113,-27.07%,-6.30%,16.75%,17.70%,,,,,
10/29/2004,0.12,--,-37.54%,-20.39%,6.02%,6.02%,,,,,
,,,,,,,,,,,
