,,,,,,,,,
,,,,,,,,,
MXAU Index Settings Total Return Analysis,,,,,,,,,
Range01/29/1971 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 623 Month Holding Period Chart,,,,,,,,,
MSCI Australia Index Max Cuml Total Return 5776.9285% On 03/31/2022,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
6/30/2008,1008.53,2.8992,1066.08%,2232.88%,-6.88%,-6.62%,,,
5/30/2008,1083.06,8.15192,1152.25%,2398.28%,2.06%,2.81%,,,
4/30/2008,1061.25,0.47839,1127.03%,2329.95%,8.43%,8.48%,,,
,,,,,,,,,
3/31/2008,978.75,6.76988,1031.65%,2139.98%,-5.94%,-5.30%,,,
2/29/2008,1040.6,10.97516,1103.16%,2265.29%,2.08%,3.17%,,,
1/31/2008,1019.36,0.61516,1078.60%,2192.59%,-8.73%,-8.68%,,,
,,,,,,,,,
12/31/2007,1116.88,2.04668,1191.35%,2410.52%,-3.74%,-3.56%,,,
11/30/2007,1160.29,8.60273,1241.55%,2503.21%,-7.94%,-7.28%,,,
10/31/2007,1260.33,0.77897,1357.21%,2707.48%,7.33%,7.40%,,,
,,,,,,,,,
9/28/2007,1174.27,5.50714,1257.70%,2514.14%,14.27%,14.87%,,,
8/31/2007,1027.65,10.18471,1088.19%,2175.79%,-2.32%,-1.32%,,,
7/31/2007,1052.09,--,1116.44%,2206.21%,-1.33%,-1.33%,,,
,,,,,,,,,
6/29/2007,1066.31,4.88099,1132.88%,2237.39%,2.63%,3.11%,,,
5/31/2007,1038.96,4.19083,1101.26%,2166.98%,1.12%,1.52%,,,
4/30/2007,1027.48,0.40687,1087.99%,2133.01%,5.58%,5.62%,,,
,,,,,,,,,
3/30/2007,973.15,5.64889,1025.17%,2014.10%,5.26%,5.91%,,,
2/28/2007,924.52,7.92793,968.95%,1896.20%,3.18%,4.05%,,,
1/31/2007,896.01,--,935.98%,1818.55%,0.12%,0.12%,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MXAU Index Settings Total Return Analysis,,,,,,,,,
Range01/29/1971 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 623 Month Holding Period Chart,,,,,,,,,
MSCI Australia Index Max Cuml Total Return 5776.9285% On 03/31/2022,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return
12/29/2006,894.92,1.9699,934.72%,1816.22%,3.22%,3.46%,,,
11/30/2006,866.97,6.01574,902.40%,1752.20%,3.33%,4.08%,,,
10/31/2006,839.02,1.24496,870.08%,1679.63%,8.27%,8.44%,,,
,,,,,,,,,
9/29/2006,774.92,5.58645,795.98%,1541.14%,-1.63%,-0.92%,,,
8/31/2006,787.74,7.538,810.80%,1556.45%,2.20%,3.20%,,,
7/31/2006,770.82,0.15114,791.23%,1505.11%,1.27%,1.29%,,,
,,,,,,,,,
6/30/2006,761.16,5.72278,780.07%,1484.70%,0.26%,1.02%,,,
5/31/2006,759.22,2.4812,777.82%,1468.75%,-6.08%,-5.79%,,,
4/28/2006,808.4,0.3435,834.69%,1565.20%,8.86%,8.91%,,,
,,,,,,,,,
3/31/2006,742.61,4.05925,758.62%,1428.99%,0.49%,1.05%,,,
2/28/2006,738.98,7.5943,754.42%,1413.08%,-2.11%,-1.09%,,,
1/31/2006,754.94,--,772.87%,1429.81%,7.22%,7.22%,,,
,,,,,,,,,
12/30/2005,704.11,1.97782,714.10%,1326.81%,2.21%,2.50%,,,
11/30/2005,688.86,5.29002,696.47%,1291.95%,3.03%,3.83%,,,
10/31/2005,668.6,0.32837,673.05%,1240.60%,-6.26%,-6.21%,,,
,,,,,,,,,
9/30/2005,713.25,5.43915,724.67%,1329.41%,6.50%,7.34%,,,
8/31/2005,669.71,6.90906,674.33%,1231.64%,0.73%,1.76%,,,
7/29/2005,664.84,--,668.70%,1208.56%,2.21%,2.21%,,,
,,,,,,,,,
6/30/2005,650.47,4.93791,652.08%,1180.27%,5.20%,6.02%,,,
5/31/2005,618.33,2.05274,614.93%,1107.59%,-0.63%,-0.29%,,,
4/29/2005,622.27,0.31034,619.47%,1111.15%,-1.42%,-1.37%,,,
,,,,,,,,,
3/31/2005,631.21,4.27864,629.82%,1127.97%,-4.23%,-3.60%,,,
2/28/2005,659.12,6.3475,662.08%,1173.84%,4.56%,5.59%,,,
1/31/2005,630.36,--,628.84%,1106.41%,0.89%,0.89%,,,
,,,,,,,,,
12/31/2004,624.8,1.06709,622.40%,1095.76%,4.61%,4.79%,,,
11/30/2004,597.28,5.27884,590.59%,1041.10%,7.44%,8.41%,,,
10/29/2004,555.94,0.24587,542.79%,952.57%,5.39%,5.43%,,,
,,,,,,,,,
9/30/2004,527.53,3.34695,509.93%,898.32%,6.49%,7.21%,,,
8/31/2004,495.37,4.94612,472.75%,831.21%,1.26%,2.28%,,,
7/30/2004,489.19,0.05615,465.61%,810.42%,0.49%,0.50%,,,
,,,,,,,,,
6/30/2004,486.81,3.57237,462.85%,805.87%,-0.94%,-0.21%,,,
5/31/2004,491.44,1.47951,468.21%,807.81%,0.74%,1.06%,,,
4/30/2004,487.83,0.89395,464.04%,798.28%,-6.05%,-5.89%,,,
