,,,,,,,,,
,,,,,,,,,
MXUS Index Settings Total Return Analysis,,,,,,,,,
Range12/31/1969 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 636 Month Holding Period Chart,,,,,,,,,
MSCI USA Price Return USD Index Max Cuml Total Return 7537.8452% On 12/31/2021,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
5/31/1988,241.39,--,141.39%,141.39%,0.53%,0.53%,,,
4/29/1988,240.11,--,140.11%,140.11%,0.59%,0.59%,,,
,,,,,,,,,
3/31/1988,238.69,--,138.69%,138.69%,-3.65%,-3.65%,,,
2/29/1988,247.73,--,147.73%,147.73%,3.87%,3.87%,,,
1/29/1988,238.5,--,138.50%,138.50%,3.96%,3.96%,,,
,,,,,,,,,
12/31/1987,229.41,--,129.41%,129.41%,6.70%,6.70%,,,
11/30/1987,215,--,115.00%,115.00%,-8.76%,-8.76%,,,
10/30/1987,235.64,--,135.64%,135.64%,-21.46%,-21.46%,,,
,,,,,,,,,
9/30/1987,300.03,--,200.03%,200.03%,-2.37%,-2.37%,,,
8/31/1987,307.31,--,207.31%,207.31%,3.70%,3.70%,,,
7/31/1987,296.34,--,196.34%,196.34%,4.50%,4.50%,,,
,,,,,,,,,
6/30/1987,283.57,--,183.57%,183.57%,4.91%,4.91%,,,
5/29/1987,270.29,--,170.29%,170.29%,0.30%,0.30%,,,
4/30/1987,269.48,--,169.48%,169.48%,-1.16%,-1.16%,,,
,,,,,,,,,
3/31/1987,272.65,--,172.65%,172.65%,2.43%,2.43%,,,
2/27/1987,266.17,--,166.17%,166.17%,3.32%,3.32%,,,
1/30/1987,257.61,--,157.61%,157.61%,12.98%,12.98%,,,
,,,,,,,,,
12/31/1986,228.02,--,128.02%,128.02%,-2.81%,-2.81%,,,
11/28/1986,234.61,--,134.61%,134.61%,2.06%,2.06%,,,
10/31/1986,229.88,--,129.88%,129.88%,5.37%,5.37%,,,
,,,,,,,,,
9/30/1986,218.17,--,118.17%,118.17%,-8.81%,-8.81%,,,
8/29/1986,239.24,--,139.24%,139.24%,7.10%,7.10%,,,
7/31/1986,223.39,--,123.39%,123.39%,-5.62%,-5.62%,,,
,,,,,,,,,
6/30/1986,236.68,--,136.68%,136.68%,1.02%,1.02%,,,
5/30/1986,234.29,--,134.29%,134.29%,4.64%,4.64%,,,
4/30/1986,223.91,--,123.91%,123.91%,-1.68%,-1.68%,,,
,,,,,,,,,
3/31/1986,227.73,--,127.73%,127.73%,5.28%,5.28%,,,
2/28/1986,216.31,--,116.31%,116.31%,7.25%,7.25%,,,
1/31/1986,201.68,--,101.68%,101.68%,0.31%,0.31%,,,
,,,,,,,,,
12/31/1985,201.05,--,101.05%,101.05%,4.83%,4.83%,,,
11/29/1985,191.79,--,91.79%,91.79%,6.60%,6.60%,,,
10/31/1985,179.91,--,79.91%,79.91%,4.19%,4.19%,,,
,,,,,,,,,
9/30/1985,172.68,--,72.68%,72.68%,-3.50%,-3.50%,,,
