,,,,,,,,,,,
,,,,,,,,,,,
MXKR Index Settings Total Return Analysis,,,,,,,,,,,
Range12/31/1987 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 420 Month Holding Period Chart,,,,,,,,,,,
MSCI Korea Index Max Cuml Total Return 1013.0947% On 06/30/2021,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
7/30/2010,0.42,--,235.45%,332.11%,7.49%,7.49%,,,,,
,,,,,,,,,,,
6/30/2010,0.39,0.00076,212.09%,302.02%,1.18%,1.38%,,,,,
5/31/2010,0.39,--,208.44%,296.55%,-13.34%,-13.34%,,,,,
4/30/2010,0.45,--,255.92%,357.59%,5.30%,5.30%,,,,,
,,,,,,,,,,,
3/31/2010,0.42,0.00034,238.00%,334.55%,8.89%,8.98%,,,,,
2/26/2010,0.39,--,210.40%,298.75%,-0.92%,-0.92%,,,,,
1/29/2010,0.39,--,213.28%,302.45%,-4.66%,-4.66%,,,,,
,,,,,,,,,,,
12/31/2009,0.41,0.0047,228.60%,322.13%,8.64%,9.89%,,,,,
11/30/2009,0.38,--,202.46%,284.13%,1.03%,1.03%,,,,,
10/30/2009,0.38,--,199.38%,280.23%,-6.99%,-6.99%,,,,,
,,,,,,,,,,,
9/30/2009,0.4,0,221.87%,308.78%,12.33%,12.33%,,,,,
8/31/2009,0.36,--,186.53%,263.90%,0.70%,0.70%,,,,,
7/31/2009,0.36,--,184.52%,261.35%,18.93%,18.93%,,,,,
,,,,,,,,,,,
6/30/2009,0.3,0.00018,139.24%,203.84%,-0.93%,-0.87%,,,,,
5/29/2009,0.3,--,141.49%,206.51%,4.12%,4.12%,,,,,
4/30/2009,0.29,--,131.94%,194.39%,19.96%,19.96%,,,,,
,,,,,,,,,,,
3/31/2009,0.24,0.00022,93.34%,145.40%,27.79%,27.91%,,,,,
2/27/2009,0.19,--,51.30%,91.85%,-17.16%,-17.16%,,,,,
1/30/2009,0.23,--,82.63%,131.58%,-3.15%,-3.15%,,,,,
,,,,,,,,,,,
12/31/2008,0.24,0.00344,88.58%,139.13%,16.49%,18.16%,,,,,
11/28/2008,0.2,--,61.88%,102.38%,-13.39%,-13.39%,,,,,
10/31/2008,0.23,--,86.91%,133.67%,-29.97%,-29.97%,,,,,
,,,,,,,,,,,
9/30/2008,0.34,0.00007,166.89%,233.66%,-9.60%,-9.58%,,,,,
8/29/2008,0.37,--,195.23%,269.02%,-13.84%,-13.84%,,,,,
7/31/2008,0.43,--,242.66%,328.29%,-1.57%,-1.57%,,,,,
,,,,,,,,,,,
6/30/2008,0.44,0.00035,248.13%,335.14%,-12.53%,-12.47%,,,,,
5/30/2008,0.5,--,298.02%,397.10%,-1.34%,-1.34%,,,,,
4/30/2008,0.51,--,303.44%,403.86%,6.93%,6.93%,,,,,
,,,,,,,,,,,
3/31/2008,0.47,0.00058,277.28%,371.19%,-4.23%,-4.12%,,,,,
2/29/2008,0.49,--,293.95%,391.42%,4.48%,4.48%,,,,,
1/31/2008,0.47,--,277.07%,370.35%,-14.25%,-14.25%,,,,,
,,,,,,,,,,,
12/31/2007,0.55,0.00797,339.71%,448.50%,-1.13%,0.29%,,,,,
11/30/2007,0.56,--,344.75%,446.92%,-9.63%,-9.63%,,,,,
10/31/2007,0.62,--,392.12%,505.18%,6.63%,6.63%,,,,,
,,,,,,,,,,,
9/28/2007,0.58,--,361.53%,467.56%,7.63%,7.63%,,,,,
8/31/2007,0.54,--,328.81%,427.32%,-4.47%,-4.47%,,,,,
7/31/2007,0.56,--,348.85%,451.97%,10.80%,10.80%,,,,,
,,,,,,,,,,,
6/29/2007,0.51,0.00044,305.11%,398.18%,3.13%,3.22%,,,,,
5/31/2007,0.49,--,292.82%,382.65%,8.20%,8.20%,,,,,
4/30/2007,0.46,--,263.04%,346.06%,6.00%,6.00%,,,,,
,,,,,,,,,,,
3/30/2007,0.43,0.00092,242.48%,320.81%,2.51%,2.72%,,,,,
2/28/2007,0.42,--,234.11%,309.65%,4.20%,4.20%,,,,,
1/31/2007,0.4,--,220.64%,293.13%,-5.23%,-5.23%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MXKR Index Settings Total Return Analysis,,,,,,,,,,,
Range12/31/1987 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 420 Month Holding Period Chart,,,,,,,,,,,
MSCI Korea Index Max Cuml Total Return 1013.0947% On 06/30/2021,,,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return,,Period Appr
12/29/2006,0.43,0.00731,238.33%,314.81%,-0.33%,1.39%,,,,,
11/30/2006,0.43,--,239.46%,309.12%,5.59%,5.59%,,,,,
10/31/2006,0.4,--,221.50%,287.48%,-0.42%,-0.42%,,,,,
,,,,,,,,,,,
9/29/2006,0.41,0.00004,222.86%,289.11%,3.08%,3.09%,,,,,
8/31/2006,0.39,--,213.21%,277.45%,2.48%,2.48%,,,,,
7/31/2006,0.38,--,205.64%,268.32%,-0.28%,-0.28%,,,,,
,,,,,,,,,,,
6/30/2006,0.39,0.00044,206.48%,269.34%,-1.69%,-1.57%,,,,,
5/31/2006,0.39,--,211.74%,275.22%,-7.68%,-7.68%,,,,,
4/28/2006,0.42,--,237.66%,306.42%,6.78%,6.78%,,,,,
,,,,,,,,,,,
3/31/2006,0.4,0.00044,216.21%,280.60%,-0.53%,-0.42%,,,,,
2/28/2006,0.4,--,217.90%,282.21%,-3.22%,-3.22%,,,,,
